,Empresas
133,TELEFÃ”NICA BRASIL S.A
134,TERMINAL GARAGEM MENEZES CORTES S.A.
135,TERMOPERNAMBUCO S.A.
136,TREVISA INVESTIMENTOS S.A.
137,TRIÃ‚NGULO DO SOL AUTO-ESTRADAS S.A.
138,TRISUL S.A.
139,TRONOX PIGMENTOS DO BRASIL S.A.
140,TRUE SECURITIZADORA S.A.
141,TUPY S.A.
142,UNIDAS S.A.
143,VALID SOLUÃ‡Ã•ES S.A.
144,VIVER INCORPORADORA E CONSTRUTORA S.A.
145,WETZEL S.A.
146,WILSON SONS LTD.
147,ALFA HOLDINGS S.A.
148,ATMA PARTICIPAÃ‡Ã•ES S.A.
149,BRASIL BROKERS PARTICIPACOES S.A.
150,CABINDA PARTICIPACOES S.A.
151,CEMIG DISTRIBUICAO S.A.
152,CIA PARTICIPACOES ALIANCA DA BAHIA
153,CIA SEGUROS ALIANCA DA BAHIA
154,CONC RODOVIAS DO TIETÃŠ S.A.
155,CPFL ENERGIAS RENOVÃVEIS S.A.
156,ELETROPAULO METROP. ELET. SAO PAULO S.A.
157,ENAUTA PARTICIPAÃ‡Ã•ES S.A.
158,GAFISA S.A.
159,GENERAL SHOPPING E OUTLETS DO BRASIL S.A.
160,IOCHPE MAXION S.A.
161,JOAO FORTES ENGENHARIA S.A.
162,LOG COMMERCIAL PROPERTIES
163,LUPATECH S.A.
164,MAGAZINE LUIZA S.A.
165,MANUFATURA DE BRINQUEDOS ESTRELA S.A.
166,METALGRAFICA IGUACU S.A.
167,METALURGICA RIOSULENSE S.A.
168,MINUPAR PARTICIPACOES S.A.
169,OURO VERDE LOCACAO E SERVICO S.A.
170,PANATLANTICA S.A.
171,PATRIA CIA SECURITIZADORA DE CRED IMOB
172,PETROLEO BRASILEIRO S.A. PETROBRAS
173,RESTOQUE COMÃ‰RCIO E CONFECÃ‡Ã•ES DE ROUPAS S.A.
174,RIO PARANAPANEMA ENERGIA S.A.
175,SALUS INFRAESTRUTURA PORTUARIA SA
176,SINQIA S.A.
177,SPRINGS GLOBAL PARTICIPACOES S.A.
178,TECHNOS S.A.
179,TERMELÃ‰TRICA PERNAMBUCO III S.A.
180,TPI - TRIUNFO PARTICIP. E INVEST. S.A.
181,TRANSMISSORA ALIANÃ‡A DE ENERGIA ELÃ‰TRICA S.A.
182,UPTICK PARTICIPACOES S.A.
183,BRAZILIAN SECURITIES CIA SECURITIZACAO
184,CACHOEIRA PAULISTA TRANSMISSORA ENERGIA S.A.
185,CONSTRUTORA ADOLPHO LINDENBERG S.A.
186,CPFL GERACAO DE ENERGIA S.A.
187,EVEN CONSTRUTORA E INCORPORADORA S.A.
188,HOTEIS OTHON S.A.
189,JHSF PARTICIPACOES S.A.
190,LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.
191,MONTEIRO ARANHA S.A.
192,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.
193,REFINARIA DE PETROLEOS MANGUINHOS S.A.
194,SANTHER FAB DE PAPEL STA THEREZINHA S.A.
195,SONDOTECNICA ENGENHARIA SOLOS S.A.
196,TECNOSOLO ENGENHARIA S.A.
197,TIM PARTICIPACOES S.A.
198,UNIPAR CARBOCLORO S.A.
199,CIA PAULISTA DE FORCA E LUZ
200,CONSORCIO ALFA DE ADMINISTRACAO S.A.
201,EDP SÃƒO PAULO DISTRIBUIÃ‡ÃƒO DE ENERGIA S.A.
202,GP INVESTMENTS. LTD.
203,INVESTIMENTOS BEMGE S.A.
204,MANGELS INDUSTRIAL S.A.
205,METALURGICA GERDAU S.A.
206,MILLS ESTRUTURAS E SERVIÃ‡OS DE ENGENHARIA S.A.
207,PDG COMPANHIA SECURITIZADORA
208,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.
209,SANTOS BRASIL PARTICIPACOES S.A.
210,TOTVS S.A.
211,BR PROPERTIES S.A.
212,CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG
213,CONC RIO-TERESOPOLIS S.A.
214,FERREIRA GOMES ENERGIA S.A.
215,METALFRIO SOLUTIONS S.A.
216,MRV ENGENHARIA E PARTICIPACOES S.A.
217,RAIA DROGASIL S.A.
218,SUL AMERICA S.A.
219,BRPR 56 SECURITIZADORA CRED IMOB S.A.
220,CPFL ENERGIA S.A.
221,ENGIE BRASIL ENERGIA S.A.
222,INSTITUTO HERMES PARDINI S.A.
223,RUMO MALHA PAULISTA S.A.
224,TERRA SANTA AGRO S.A.
225,USINAS SID DE MINAS GERAIS S.A.-USIMINAS
226,CIA FERRO LIGAS DA BAHIA - FERBASA
227,METISA METALURGICA TIMBOENSE S.A.
228,POSITIVO TECNOLOGIA S.A.
229,TCP TERMINAL DE CONTEINERES DE PARANAGUA SA
230,GERDAU S.A.
231,ULTRAPAR PARTICIPACOES S.A.
232,MARCOPOLO S.A.
233,SIDERURGICA J. L. ALIPERTI S.A.
234,DIRECIONAL ENGENHARIA S.A.
