,Empresas
133,UNIDAS S.A.
134,VALID SOLUÃ‡Ã•ES S.A.
135,VIVER INCORPORADORA E CONSTRUTORA S.A.
136,WETZEL S.A.
137,WILSON SONS LTD.
138,ALFA HOLDINGS S.A.
139,ATMA PARTICIPAÃ‡Ã•ES S.A.
140,BCO ALFA DE INVESTIMENTO S.A.
141,BCO MERCANTIL DO BRASIL S.A.
142,BRASIL BROKERS PARTICIPACOES S.A.
143,CEMIG DISTRIBUICAO S.A.
144,CIA PARTICIPACOES ALIANCA DA BAHIA
145,CIA SEGUROS ALIANCA DA BAHIA
146,CONC RODOVIAS DO TIETÃŠ S.A.
147,CPFL ENERGIAS RENOVÃVEIS S.A.
148,ELETROPAULO METROP. ELET. SAO PAULO S.A.
149,ENAUTA PARTICIPAÃ‡Ã•ES S.A.
150,GAFISA S.A.
151,GENERAL SHOPPING E OUTLETS DO BRASIL S.A.
152,IOCHPE MAXION S.A.
153,JOAO FORTES ENGENHARIA S.A.
154,LOG COMMERCIAL PROPERTIES
155,LUPATECH S.A.
156,MAGAZINE LUIZA S.A.
157,MANUFATURA DE BRINQUEDOS ESTRELA S.A.
158,METALGRAFICA IGUACU S.A.
159,METALURGICA RIOSULENSE S.A.
160,MINUPAR PARTICIPACOES S.A.
161,OURO VERDE LOCACAO E SERVICO S.A.
162,PANATLANTICA S.A.
163,PETROLEO BRASILEIRO S.A. PETROBRAS
164,RESTOQUE COMÃ‰RCIO E CONFECÃ‡Ã•ES DE ROUPAS S.A.
165,RIO PARANAPANEMA ENERGIA S.A.
166,SALUS INFRAESTRUTURA PORTUARIA SA
167,SINQIA S.A.
168,SPRINGS GLOBAL PARTICIPACOES S.A.
169,TECHNOS S.A.
170,TERMELÃ‰TRICA PERNAMBUCO III S.A.
171,TPI - TRIUNFO PARTICIP. E INVEST. S.A.
172,TRANSMISSORA ALIANÃ‡A DE ENERGIA ELÃ‰TRICA S.A.
173,BRAZILIAN SECURITIES CIA SECURITIZACAO
174,CACHOEIRA PAULISTA TRANSMISSORA ENERGIA S.A.
175,CONSTRUTORA ADOLPHO LINDENBERG S.A.
176,CPFL GERACAO DE ENERGIA S.A.
177,EVEN CONSTRUTORA E INCORPORADORA S.A.
178,HOTEIS OTHON S.A.
179,JHSF PARTICIPACOES S.A.
180,LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.
181,MONTEIRO ARANHA S.A.
182,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.
183,REFINARIA DE PETROLEOS MANGUINHOS S.A.
184,SANTHER FAB DE PAPEL STA THEREZINHA S.A.
185,SONDOTECNICA ENGENHARIA SOLOS S.A.
186,TECNOSOLO ENGENHARIA S.A.
187,TIM PARTICIPACOES S.A.
188,UNIPAR CARBOCLORO S.A.
189,CIA PAULISTA DE FORCA E LUZ
190,CONSORCIO ALFA DE ADMINISTRACAO S.A.
191,EDP SÃƒO PAULO DISTRIBUIÃ‡ÃƒO DE ENERGIA S.A.
192,GP INVESTMENTS. LTD.
193,MANGELS INDUSTRIAL S.A.
194,MERCANTIL BRASIL FINANC S.A. C.F.I.
195,METALURGICA GERDAU S.A.
196,MILLS ESTRUTURAS E SERVIÃ‡OS DE ENGENHARIA S.A.
197,PRODUTORES ENERGET.DE MANSO S.A.- PROMAN
198,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.
199,SANTOS BRASIL PARTICIPACOES S.A.
200,TOTVS S.A.
201,BR PROPERTIES S.A.
202,CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG
203,CONC RIO-TERESOPOLIS S.A.
204,FERREIRA GOMES ENERGIA S.A.
205,METALFRIO SOLUTIONS S.A.
206,MRV ENGENHARIA E PARTICIPACOES S.A.
207,RAIA DROGASIL S.A.
208,SUL AMERICA S.A.
209,BRPR 56 SECURITIZADORA CRED IMOB S.A.
210,CPFL ENERGIA S.A.
211,ENGIE BRASIL ENERGIA S.A.
212,INSTITUTO HERMES PARDINI S.A.
213,RUMO MALHA PAULISTA S.A.
214,TERRA SANTA AGRO S.A.
215,USINAS SID DE MINAS GERAIS S.A.-USIMINAS
216,CIA FERRO LIGAS DA BAHIA - FERBASA
217,METISA METALURGICA TIMBOENSE S.A.
218,POSITIVO TECNOLOGIA S.A.
219,TCP TERMINAL DE CONTEINERES DE PARANAGUA SA
220,GERDAU S.A.
221,ULTRAPAR PARTICIPACOES S.A.
222,MARCOPOLO S.A.
223,SIDERURGICA J. L. ALIPERTI S.A.
224,DIRECIONAL ENGENHARIA S.A.
